deployID,tag_Type,prh_Name,lunge_Name,prey_type,latitude,longitude
Bm190710-TDR15,medterm,Bm190710-TDR15 8Hzprh.mat,Bm190710-TDR15_lunges.mat,krill,38.04,-123.35
Bm190916-TDR14,medterm,Bm190916-TDR14 8Hzprh.mat,Bm190916-TDR14_lunges.mat,krill,36.65,-122.02
Bm190916-TDR15,medterm,Bm190916-TDR15 8Hzprh.mat,Bm190916-TDR15_lunges.mat,krill,36.62,-122.02
Bp160912-A14,medterm,Bp160912-A14 10Hzprh.mat,Bp160912-A14_lunges.mat,krill,33.91,-120.32
Bp160914-A20,medterm,bp160914-A20 10Hzprh.mat,bp160914-A20_lunges.mat,krill,33.9,-120.32
Bp180501-A41,medterm,bp180501-A41 10Hzprh.mat,bp180501-A41_lunges.mat,krill,33.92,-118.58
Bp180623-A41,medterm,bp180623-A41 10Hzprh.mat,bp180623-A41_lunges.mat,krill,34.12,-119.7
Bp180623-A44,medterm,bp180623-A44 10Hzprh.mat,bp180623-A44_lunges.mat,krill,34.13,-119.84
Bp191022-A41,medterm,Bp191022-A41 10Hzprh.mat,Bp191022-A41_lunges.mat,krill,33.51,-118.56
Mn170723-TDR12,medterm,Mn170723-TDR12 8Hzprh.mat,Mn170723-TDR12_lunges.mat,fish,37.82,-122.47
Mn170723-TDR14,medterm,Mn170723-TDR14 8Hzprh.mat,Mn170723-TDR14_lunges.mat,fish,37.81,-122.49
Mn150810-TDR5-PAD1,medterm,Mn150810-TDR5-PAD1 10Hzprh.mat,Mn150810-TDR5-PAD1 10Hz_lunges.mat,krill,34.27,-119.75
Mn201027-TDR18,medterm,Mn201027-TDR18 8Hzprh.mat,Mn201027-TDR18_lunges.mat,fish,37.42,-122.83
